category	posture_lever
admin-access	-
compliance-bsa-aml	-
compliance-euaiact	-
compliance-fairlending	-
compliance-gdpr	-
compliance-glba	-
compliance-hipaa	-
compliance-masfeat	-
compliance-nydfs	-
compliance-rbi	-
compliance-sebi	-
data-exfiltration	-
dynamic-budget	-
dynamic-rate-limit	-
dynamic-role-access	-
dynamic-time-access	-
fincrime	-
media-biometric	-
media-document	-
media-pii	-
media-safety	-
pii-eu	PII_ACTION
pii-global	PII_ACTION
pii-india	PII_ACTION
pii-indonesia	PII_ACTION
pii-singapore	PII_ACTION
pii-us	PII_ACTION
security-dangerous	DANGEROUS_COMMAND_ACTION
security-sqli	SQLI_ACTION
sensitive-data	SENSITIVE_DATA_ACTION
an-unregistered-category	-
