category	severity	phase	stored_action	resolved_action
admin-access	critical	request	NULL	warn
admin-access	critical	request	EMPTY	warn
admin-access	critical	request	block	block
admin-access	critical	request	redact	redact
admin-access	critical	request	log	log
admin-access	critical	request	warn	warn
admin-access	critical	request	allow	allow
admin-access	critical	request	require_approval	require_approval
admin-access	critical	response	NULL	warn
admin-access	critical	response	EMPTY	warn
admin-access	critical	response	block	block
admin-access	critical	response	redact	redact
admin-access	critical	response	log	log
admin-access	critical	response	warn	warn
admin-access	critical	response	allow	allow
admin-access	critical	response	require_approval	require_approval
admin-access	high	request	NULL	warn
admin-access	high	request	EMPTY	warn
admin-access	high	request	block	block
admin-access	high	request	redact	redact
admin-access	high	request	log	log
admin-access	high	request	warn	warn
admin-access	high	request	allow	allow
admin-access	high	request	require_approval	require_approval
admin-access	high	response	NULL	warn
admin-access	high	response	EMPTY	warn
admin-access	high	response	block	block
admin-access	high	response	redact	redact
admin-access	high	response	log	log
admin-access	high	response	warn	warn
admin-access	high	response	allow	allow
admin-access	high	response	require_approval	require_approval
admin-access	medium	request	NULL	warn
admin-access	medium	request	EMPTY	warn
admin-access	medium	request	block	block
admin-access	medium	request	redact	redact
admin-access	medium	request	log	log
admin-access	medium	request	warn	warn
admin-access	medium	request	allow	allow
admin-access	medium	request	require_approval	require_approval
admin-access	medium	response	NULL	warn
admin-access	medium	response	EMPTY	warn
admin-access	medium	response	block	block
admin-access	medium	response	redact	redact
admin-access	medium	response	log	log
admin-access	medium	response	warn	warn
admin-access	medium	response	allow	allow
admin-access	medium	response	require_approval	require_approval
admin-access	low	request	NULL	warn
admin-access	low	request	EMPTY	warn
admin-access	low	request	block	block
admin-access	low	request	redact	redact
admin-access	low	request	log	log
admin-access	low	request	warn	warn
admin-access	low	request	allow	allow
admin-access	low	request	require_approval	require_approval
admin-access	low	response	NULL	warn
admin-access	low	response	EMPTY	warn
admin-access	low	response	block	block
admin-access	low	response	redact	redact
admin-access	low	response	log	log
admin-access	low	response	warn	warn
admin-access	low	response	allow	allow
admin-access	low	response	require_approval	require_approval
admin-access	-	request	NULL	warn
admin-access	-	request	EMPTY	warn
admin-access	-	request	block	block
admin-access	-	request	redact	redact
admin-access	-	request	log	log
admin-access	-	request	warn	warn
admin-access	-	request	allow	allow
admin-access	-	request	require_approval	require_approval
admin-access	-	response	NULL	warn
admin-access	-	response	EMPTY	warn
admin-access	-	response	block	block
admin-access	-	response	redact	redact
admin-access	-	response	log	log
admin-access	-	response	warn	warn
admin-access	-	response	allow	allow
admin-access	-	response	require_approval	require_approval
compliance-bsa-aml	critical	request	NULL	log
compliance-bsa-aml	critical	request	EMPTY	log
compliance-bsa-aml	critical	request	block	block
compliance-bsa-aml	critical	request	redact	redact
compliance-bsa-aml	critical	request	log	log
compliance-bsa-aml	critical	request	warn	warn
compliance-bsa-aml	critical	request	allow	allow
compliance-bsa-aml	critical	request	require_approval	require_approval
compliance-bsa-aml	critical	response	NULL	log
compliance-bsa-aml	critical	response	EMPTY	log
compliance-bsa-aml	critical	response	block	block
compliance-bsa-aml	critical	response	redact	redact
compliance-bsa-aml	critical	response	log	log
compliance-bsa-aml	critical	response	warn	warn
compliance-bsa-aml	critical	response	allow	allow
compliance-bsa-aml	critical	response	require_approval	require_approval
compliance-bsa-aml	high	request	NULL	log
compliance-bsa-aml	high	request	EMPTY	log
compliance-bsa-aml	high	request	block	block
compliance-bsa-aml	high	request	redact	redact
compliance-bsa-aml	high	request	log	log
compliance-bsa-aml	high	request	warn	warn
compliance-bsa-aml	high	request	allow	allow
compliance-bsa-aml	high	request	require_approval	require_approval
compliance-bsa-aml	high	response	NULL	log
compliance-bsa-aml	high	response	EMPTY	log
compliance-bsa-aml	high	response	block	block
compliance-bsa-aml	high	response	redact	redact
compliance-bsa-aml	high	response	log	log
compliance-bsa-aml	high	response	warn	warn
compliance-bsa-aml	high	response	allow	allow
compliance-bsa-aml	high	response	require_approval	require_approval
compliance-bsa-aml	medium	request	NULL	log
compliance-bsa-aml	medium	request	EMPTY	log
compliance-bsa-aml	medium	request	block	block
compliance-bsa-aml	medium	request	redact	redact
compliance-bsa-aml	medium	request	log	log
compliance-bsa-aml	medium	request	warn	warn
compliance-bsa-aml	medium	request	allow	allow
compliance-bsa-aml	medium	request	require_approval	require_approval
compliance-bsa-aml	medium	response	NULL	log
compliance-bsa-aml	medium	response	EMPTY	log
compliance-bsa-aml	medium	response	block	block
compliance-bsa-aml	medium	response	redact	redact
compliance-bsa-aml	medium	response	log	log
compliance-bsa-aml	medium	response	warn	warn
compliance-bsa-aml	medium	response	allow	allow
compliance-bsa-aml	medium	response	require_approval	require_approval
compliance-bsa-aml	low	request	NULL	log
compliance-bsa-aml	low	request	EMPTY	log
compliance-bsa-aml	low	request	block	block
compliance-bsa-aml	low	request	redact	redact
compliance-bsa-aml	low	request	log	log
compliance-bsa-aml	low	request	warn	warn
compliance-bsa-aml	low	request	allow	allow
compliance-bsa-aml	low	request	require_approval	require_approval
compliance-bsa-aml	low	response	NULL	log
compliance-bsa-aml	low	response	EMPTY	log
compliance-bsa-aml	low	response	block	block
compliance-bsa-aml	low	response	redact	redact
compliance-bsa-aml	low	response	log	log
compliance-bsa-aml	low	response	warn	warn
compliance-bsa-aml	low	response	allow	allow
compliance-bsa-aml	low	response	require_approval	require_approval
compliance-bsa-aml	-	request	NULL	log
compliance-bsa-aml	-	request	EMPTY	log
compliance-bsa-aml	-	request	block	block
compliance-bsa-aml	-	request	redact	redact
compliance-bsa-aml	-	request	log	log
compliance-bsa-aml	-	request	warn	warn
compliance-bsa-aml	-	request	allow	allow
compliance-bsa-aml	-	request	require_approval	require_approval
compliance-bsa-aml	-	response	NULL	log
compliance-bsa-aml	-	response	EMPTY	log
compliance-bsa-aml	-	response	block	block
compliance-bsa-aml	-	response	redact	redact
compliance-bsa-aml	-	response	log	log
compliance-bsa-aml	-	response	warn	warn
compliance-bsa-aml	-	response	allow	allow
compliance-bsa-aml	-	response	require_approval	require_approval
compliance-euaiact	critical	request	NULL	log
compliance-euaiact	critical	request	EMPTY	log
compliance-euaiact	critical	request	block	block
compliance-euaiact	critical	request	redact	redact
compliance-euaiact	critical	request	log	log
compliance-euaiact	critical	request	warn	warn
compliance-euaiact	critical	request	allow	allow
compliance-euaiact	critical	request	require_approval	require_approval
compliance-euaiact	critical	response	NULL	log
compliance-euaiact	critical	response	EMPTY	log
compliance-euaiact	critical	response	block	block
compliance-euaiact	critical	response	redact	redact
compliance-euaiact	critical	response	log	log
compliance-euaiact	critical	response	warn	warn
compliance-euaiact	critical	response	allow	allow
compliance-euaiact	critical	response	require_approval	require_approval
compliance-euaiact	high	request	NULL	log
compliance-euaiact	high	request	EMPTY	log
compliance-euaiact	high	request	block	block
compliance-euaiact	high	request	redact	redact
compliance-euaiact	high	request	log	log
