policy_id	name	category	tier	enabled	class	impl_site	legacy_action	severity	adr065_emit	obligations	posture_lever	disposition	disposition_reasons	planes	validator_planes	seed_migration	exceptions
drop_table_prevention	DROP TABLE Prevention	dangerous_queries	tenant	true	pattern	re2:sha256:0124d2c86537	block	critical	Deny|Signal	immutable_audit	-	preserved_defect	no_stored_action_for_phase,pattern_compiled_as_inspection_detector,read_path_action_divergence	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	010_policy_tables.sql	category "dangerous_queries" is pre-canonical and absent from shared/policy AllPolicyCategories, so no category-default validator and no detection-posture lever reaches this row; see the supersession ledger and #3323
eu_ai_act_high_value_transaction	High-Value Transaction Oversight	compliance-euaiact	tenant	true	pattern	re2:sha256:3c8bf2dde66c	require_approval	high	Signal	immutable_audit	-	preserved_defect	approval_pool_not_stored,no_stored_action_for_phase,pattern_compiled_as_inspection_detector,read_path_action_divergence	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	014_eu_ai_act_templates.sql	the ONLY require_approval static row, and it does NOT reach Escalate: ADR-065 approval needs an eligible pool and a quorum and static_policies stores neither (approval_pool_not_stored), so it compiles to an audit obligation instead
eu_ai_act_pricing_fairness	Pricing Fairness Validation	compliance-euaiact	tenant	true	pattern	re2:sha256:17b9afbe41bc	log	medium	Signal	immutable_audit	-	preserved_defect	no_stored_action_for_phase,pattern_compiled_as_inspection_detector	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	014_eu_ai_act_templates.sql	-
eu_ai_act_sustainability_claims	Sustainability Claims Verification	compliance-euaiact	tenant	true	pattern	re2:sha256:154944ae2555	log	medium	Signal	immutable_audit	-	preserved_defect	no_stored_action_for_phase,pattern_compiled_as_inspection_detector	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	014_eu_ai_act_templates.sql	-
eu_gdpr_credit_card_detection	Credit Card Number PII Detection	pii_detection	tenant	true	algorithmic	platform/shared/policy/validators.go::ValidateCreditCard	redact	critical	Signal	field_redact,immutable_audit	-	preserved_defect	no_stored_action_for_phase,pattern_compiled_as_inspection_detector,read_path_action_divergence,redact_target_not_stored	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	014_eu_ai_act_templates.sql	CLASS IS PLANE-DEPENDENT: the validator gates the match only on the planes listed in validator_planes. On proxy_tier the row is evaluated by TierAwarePolicyEngine.evaluateFirstMatch (platform/agent/tier_aware_policy_engine.go), which calls re.MatchString and consults no validator, so there the cited impl_site does not run and the bare pattern decides. policy_test is MIXED: one handler carries both an EvaluateRequest site and an EvaluatePolicy one under a single plane name, so a validator gates one phase there and the bare pattern decides the other; category "pii_detection" is pre-canonical and absent from shared/policy AllPolicyCategories, so no category-default validator and no detection-posture lever reaches this row; see the supersession ledger and #3323
eu_gdpr_cross_border_pii	Cross-Border PII Minimization	compliance-euaiact	tenant	true	pattern	re2:sha256:d7c43465df80	redact	high	Signal	field_redact,immutable_audit	-	preserved_defect	no_stored_action_for_phase,pattern_compiled_as_inspection_detector,read_path_action_divergence,redact_target_not_stored	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	014_eu_ai_act_templates.sql	-
eu_gdpr_loyalty_number_detection	Loyalty Number PII Detection	pii_detection	tenant	true	pattern	re2:sha256:4f432a0c3967	redact	medium	Signal	field_redact,immutable_audit	-	preserved_defect	no_stored_action_for_phase,pattern_compiled_as_inspection_detector,read_path_action_divergence,redact_target_not_stored	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	014_eu_ai_act_templates.sql	category "pii_detection" is pre-canonical and absent from shared/policy AllPolicyCategories, so no category-default validator and no detection-posture lever reaches this row; see the supersession ledger and #3323
eu_gdpr_passport_detection	Passport Number PII Detection	pii_detection	tenant	true	algorithmic	platform/shared/policy/validators.go::ValidatePassport	redact	high	Signal	field_redact,immutable_audit	-	preserved_defect	no_stored_action_for_phase,pattern_compiled_as_inspection_detector,read_path_action_divergence,redact_target_not_stored	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test,proxy_request,proxy_tier	cowork_ingest,decide,gateway_request,mcp,openai_compatible,orchestrator_response,policy_test(mixed),proxy_request	014_eu_ai_act_templates.sql	CLASS IS PLANE-DEPENDENT: the validator gates the match only on the planes listed in validator_planes. On proxy_tier the row is evaluated by TierAwarePolicyEngine.evaluateFirstMatch (platform/agent/tier_aware_policy_engine.go), which calls re.MatchString and consults no validator, so there the cited impl_site does not run and the bare pattern decides. policy_test is MIXED: one handler carries both an EvaluateRequest site and an EvaluatePolicy one under a single plane name, so a validator gates one phase there and the bare pattern decides the other; category "pii_detection" is pre-canonical and absent from shared/policy AllPolicyCategories, so no category-default validator and no detection-posture lever reaches this row; see the supersession ledger and #3323
int_claude_hooks	Claude Code Hooks Protection	security-dangerous	tenant	false	pattern	re2:sha256:7a1211bc40bf	warn	medium	-	-	DANGEROUS_COMMAND_ACTION	uncompilable	row_excluded_by_legacy_predicate	-	-	060_integration_policy_activation.sql	ships DISABLED and is activated per deployment (IDE/agent integration seeds); the legacy readers exclude it by their own predicate, so it enforces nothing until a deployment enables it
int_claude_settings	Claude Code Settings Protection	security-dangerous	tenant	false	pattern	re2:sha256:5eb15dc62fbc	block	high	-	-	DANGEROUS_COMMAND_ACTION	uncompilable	row_excluded_by_legacy_predicate	-	-	060_integration_policy_activation.sql	ships DISABLED and is activated per deployment (IDE/agent integration seeds); the legacy readers exclude it by their own predicate, so it enforces nothing until a deployment enables it
