plane	edition	capabilities	evidence
decide	community	immutable_audit@1	platform/agent/audit_coverage_test.go::TestEveryPolicyEnforcementPointAudits
decide	enterprise	approval_challenge@1,immutable_audit@1	platform/agent/decision_handler.go::handleDecide
gateway_request	community	immutable_audit@1	platform/agent/audit_coverage_test.go::TestEveryPolicyEnforcementPointAudits
gateway_request	enterprise	approval_challenge@1,immutable_audit@1	platform/agent/gateway_handlers.go::handlePolicyPreCheck
proxy_request	community	immutable_audit@1	platform/agent/audit_coverage_test.go::TestEveryPolicyEnforcementPointAudits
proxy_request	enterprise	approval_challenge@1,immutable_audit@1	platform/agent/run.go::clientRequestHandler
proxy_tier	community	immutable_audit@1	platform/agent/audit_coverage_test.go::TestEveryPolicyEnforcementPointAudits
proxy_tier	enterprise	immutable_audit@1	platform/agent/audit_coverage_test.go::TestEveryPolicyEnforcementPointAudits
mcp	community	field_redact@1,immutable_audit@1	platform/agent/mcp_handler.go::redactInputStatement
mcp	enterprise	field_redact@1,immutable_audit@1	platform/agent/mcp_handler.go::redactInputStatement
openai_compatible	community	immutable_audit@1	platform/agent/audit_coverage_test.go::TestEveryPolicyEnforcementPointAudits
openai_compatible	enterprise	immutable_audit@1	platform/agent/audit_coverage_test.go::TestEveryPolicyEnforcementPointAudits
orchestrator_response	community	field_redact@1,immutable_audit@1	platform/orchestrator/response_processor.go::ResponseProcessor
orchestrator_response	enterprise	field_redact@1,immutable_audit@1	platform/orchestrator/response_processor.go::ResponseProcessor
cowork_ingest	enterprise	field_redact@1,immutable_audit@1	platform/agent/cowork_otel_ingest.go::coworkOTELIngestHandler
wcp	community	immutable_audit@1	platform/agent/audit_coverage_test.go::TestEveryPolicyEnforcementPointAudits
wcp	enterprise	approval_challenge@1,immutable_audit@1	platform/agent/hitl/queue/writer.go::RequestTypeWCPStepGate
map	community	immutable_audit@1	platform/agent/audit_coverage_test.go::TestEveryPolicyEnforcementPointAudits
map	enterprise	approval_challenge@1,immutable_audit@1	platform/orchestrator/map_hitl_adapter.go::MAPHITLApprovalAdapter.CreateApproval
policy_simulation	community	-	platform/orchestrator/policy_simulation_handler.go::PolicySimulationHandler.SimulatePolicies
policy_simulation	enterprise	-	platform/orchestrator/policy_simulation_handler.go::PolicySimulationHandler.SimulatePolicies
policy_test	community	-	platform/agent/run.go::policyTestHandler
policy_test	enterprise	-	platform/agent/run.go::policyTestHandler
